keyword,title,price,raw_price,old_price,extracted_old_price,rating,reviews,platform,position,delivery,link,thumbnail,brand,price_range,visibility_score,discount_percentage
microwave oven convection,LG microwave oven convection Model 479,,,,,3.6,1335,Amazon,,5 Days,,,LG,Unknown,,
men running shoes,Nike men running shoes Model 602,22310.0,,,,3.8,255,Croma,,5 Days,,,Nike,Luxury,,
microwave oven convection,LG microwave oven convection Model 351,31911.0,,,,4.4,2073,Reliance Digital,,2 Days,,,LG,Luxury,,
office chair ergonomic,Nike office chair ergonomic Model 173,33852.0,,,,4.4,3965,Amazon,,2 Days,,,Nike,Luxury,,
men running shoes,HP men running shoes Model 796,16321.0,,,,4.8,4474,Flipkart,,5 Days,,,HP,Premium,,
power bank fast charging,Puma power bank fast charging Model 343,889.0,,,,4.9,3557,Reliance Digital,,5 Days,,,Puma,Budget,,
microwave oven convection,Nike microwave oven convection Model 438,1670.0,,,,3.9,1982,Amazon,,2 Days,,,Nike,Mid-Range,,
office chair ergonomic,Sony office chair ergonomic Model 955,28760.0,,,,3.6,2169,Flipkart,,2 Days,,,Unknown,Luxury,,
microwave oven convection,Nike microwave oven convection Model 917,4484.0,,,,3.0,3422,Reliance Digital,,5 Days,,,Nike,Mid-Range,,
air fryer India,Dell air fryer India Model 250,25576.0,,,,2.9,1041,Flipkart,,5 Days,,,Dell,Luxury,,
power bank fast charging,Boat power bank fast charging Model 977,,,,,3.3,2070,Amazon,,5 Days,,,Boat,Unknown,,
microwave oven convection,Dell microwave oven convection Model 272,438510.0,,,,4.5,351,Reliance Digital,,5 Days,,,Dell,Luxury,,
air fryer India,LG air fryer India Model 797,10526.0,,,,4.7,4373,Reliance Digital,,2 Days,,,LG,Premium,,
office chair ergonomic,LG office chair ergonomic Model 187,7370.0,,,,4.9,324,Flipkart,,5 Days,,,LG,Premium,,
power bank fast charging,LG power bank fast charging Model 927,5380.0,,,,2.6,1069,Croma,,Free Delivery,,,LG,Premium,,
office chair ergonomic,Boat office chair ergonomic Model 251,10118.0,,,,3.7,2270,Amazon,,2 Days,,,Boat,Premium,,
men running shoes,Philips men running shoes Model 769,6357.0,,,,3.3,255,Reliance Digital,,5 Days,,,Philips,Premium,,
power bank fast charging,Dell power bank fast charging Model 326,35283.0,,,,3.8,4008,Amazon,,2 Days,,,Dell,Luxury,,
men running shoes,Dell men running shoes Model 450,2830.0,,,,2.9,3675,Amazon,,2 Days,,,Dell,Mid-Range,,
power bank fast charging,LG power bank fast charging Model 330,28981.0,,,,3.8,4349,Croma,,2 Days,,,LG,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 365,42218.0,,,,3.0,138,Amazon,,Free Delivery,,,LG,Luxury,,
men running shoes,LG men running shoes Model 272,20795.0,,,,4.1,1456,Flipkart,,2 Days,,,LG,Luxury,,
microwave oven convection,HP microwave oven convection Model 260,10399.0,,,,4.8,1364,Croma,,2 Days,,,HP,Premium,,
power bank fast charging,Puma power bank fast charging Model 256,,,,,,3436,Amazon,,Free Delivery,,,Puma,Unknown,,
men running shoes,HP men running shoes Model 980,22136.0,,,,4.4,2269,Croma,,Free Delivery,,,HP,Luxury,,
power bank fast charging,Boat power bank fast charging Model 625,38621.0,,,,3.5,2443,Amazon,,2 Days,,,Boat,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 850,47613.0,,,,4.9,4909,Croma,,5 Days,,,HP,Luxury,,
microwave oven convection,Boat microwave oven convection Model 255,9089.0,,,,4.1,3138,Croma,,5 Days,,,Boat,Premium,,
air fryer India,Sony air fryer India Model 404,10311.0,,,,2.9,2685,Croma,,Free Delivery,,,Unknown,Premium,,
air fryer India,Philips air fryer India Model 313,38075.0,,,,3.5,1080,Amazon,,Free Delivery,,,Philips,Luxury,,
microwave oven convection,Puma microwave oven convection Model 765,8497.0,,,,2.6,1408,Croma,,2 Days,,,Puma,Premium,,
microwave oven convection,LG microwave oven convection Model 377,15541.0,,,,,1848,Reliance Digital,,5 Days,,,LG,Premium,,
power bank fast charging,Nike power bank fast charging Model 332,20043.0,,,,3.7,2355,Flipkart,,2 Days,,,Nike,Luxury,,
microwave oven convection,Puma microwave oven convection Model 583,33632.0,,,,4.5,,Reliance Digital,,Free Delivery,,,Puma,Luxury,,
men running shoes,Philips men running shoes Model 437,8752.0,,,,4.7,3962,Amazon,,5 Days,,,Philips,Premium,,
microwave oven convection,Sony microwave oven convection Model 873,35455.0,,,,3.7,2825,Flipkart,,5 Days,,,Unknown,Luxury,,
microwave oven convection,Boat microwave oven convection Model 875,6446.0,,,,4.6,613,Amazon,,2 Days,,,Boat,Premium,,
microwave oven convection,Sony microwave oven convection Model 369,4789.0,,,,4.6,589,Amazon,,5 Days,,,Unknown,Mid-Range,,
men running shoes,Dell men running shoes Model 900,8466.0,,,,3.2,3377,Croma,,2 Days,,,Dell,Premium,,
men running shoes,Philips men running shoes Model 503,46885.0,,,,4.4,986,Amazon,,Free Delivery,,,Philips,Luxury,,
microwave oven convection,Sony microwave oven convection Model 912,,,,,4.0,1238,Reliance Digital,,2 Days,,,Unknown,Unknown,,
men running shoes,Samsung men running shoes Model 630,,,,,2.7,1756,Amazon,,2 Days,,,Samsung,Unknown,,
men running shoes,HP men running shoes Model 956,1861.0,,,,3.9,652,Croma,,5 Days,,,HP,Mid-Range,,
air fryer India,Dell air fryer India Model 284,36220.0,,,,3.6,2875,Croma,,Free Delivery,,,Dell,Luxury,,
microwave oven convection,Dell microwave oven convection Model 370,41318.0,,,,3.8,4161,Reliance Digital,,2 Days,,,Dell,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 514,,,,,4.4,3775,Croma,,5 Days,,,Puma,Unknown,,
men running shoes,Samsung men running shoes Model 311,47745.0,,,,,1278,Flipkart,,Free Delivery,,,Samsung,Luxury,,
microwave oven convection,Nike microwave oven convection Model 591,,,,,2.7,3821,Reliance Digital,,5 Days,,,Nike,Unknown,,
air fryer India,Dell air fryer India Model 810,10588.0,,,,3.9,4559,Croma,,5 Days,,,Dell,Premium,,
air fryer India,HP air fryer India Model 922,15908.0,,,,3.0,2532,Reliance Digital,,5 Days,,,HP,Premium,,
power bank fast charging,Boat power bank fast charging Model 137,,,,,,1650,Reliance Digital,,5 Days,,,Boat,Unknown,,
microwave oven convection,HP microwave oven convection Model 231,15909.0,,,,3.3,3043,Reliance Digital,,Free Delivery,,,HP,Premium,,
office chair ergonomic,Nike office chair ergonomic Model 462,23777.0,,,,3.7,1783,Croma,,2 Days,,,Nike,Luxury,,
microwave oven convection,Puma microwave oven convection Model 380,17378.0,,,,4.6,4702,Flipkart,,5 Days,,,Puma,Premium,,
men running shoes,HP men running shoes Model 157,35128.0,,,,4.7,2310,Reliance Digital,,2 Days,,,HP,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 374,,,,,4.5,1364,Croma,,5 Days,,,LG,Unknown,,
men running shoes,Philips men running shoes Model 776,12533.0,,,,4.8,208,Flipkart,,Free Delivery,,,Philips,Premium,,
air fryer India,Samsung air fryer India Model 961,14116.0,,,,2.6,2903,Croma,,Free Delivery,,,Samsung,Premium,,
power bank fast charging,Nike power bank fast charging Model 363,702.0,,,,4.5,1477,Flipkart,,2 Days,,,Nike,Budget,,
men running shoes,Dell men running shoes Model 705,20430.0,,,,4.6,4958,Croma,,2 Days,,,Dell,Luxury,,
microwave oven convection,Samsung microwave oven convection Model 692,49213.0,,,,4.9,4261,Amazon,,Free Delivery,,,Samsung,Luxury,,
microwave oven convection,HP microwave oven convection Model 498,36910.0,,,,3.3,1021,Flipkart,,2 Days,,,HP,Luxury,,
microwave oven convection,Boat microwave oven convection Model 460,16391.0,,,,4.4,4959,Croma,,2 Days,,,Boat,Premium,,
office chair ergonomic,Boat office chair ergonomic Model 748,27212.0,,,,3.0,2333,Flipkart,,Free Delivery,,,Boat,Luxury,,
power bank fast charging,LG power bank fast charging Model 928,23555.0,,,,4.9,506,Flipkart,,Free Delivery,,,LG,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 934,42606.0,,,,3.0,3555,Flipkart,,Free Delivery,,,HP,Luxury,,
power bank fast charging,Sony power bank fast charging Model 242,17801.0,,,,3.4,2910,Croma,,2 Days,,,Unknown,Premium,,
microwave oven convection,Dell microwave oven convection Model 190,41050.0,,,,4.4,1230,Reliance Digital,,Free Delivery,,,Dell,Luxury,,
power bank fast charging,Philips power bank fast charging Model 319,38764.0,,,,,416,Croma,,5 Days,,,Philips,Luxury,,
power bank fast charging,Samsung power bank fast charging Model 461,2621.0,,,,4.9,112,Amazon,,Free Delivery,,,Samsung,Mid-Range,,
power bank fast charging,Boat power bank fast charging Model 133,4165.0,,,,3.4,2655,Croma,,5 Days,,,Boat,Mid-Range,,
office chair ergonomic,Philips office chair ergonomic Model 510,48400.0,,,,4.8,469,Reliance Digital,,Free Delivery,,,Philips,Luxury,,
men running shoes,Boat men running shoes Model 369,,,,,3.6,1998,Flipkart,,2 Days,,,Boat,Unknown,,
microwave oven convection,Sony microwave oven convection Model 340,,,,,4.3,4487,Reliance Digital,,5 Days,,,Unknown,Unknown,,
office chair ergonomic,Nike office chair ergonomic Model 416,,,,,3.7,1943,Croma,,Free Delivery,,,Nike,Unknown,,
air fryer India,Philips air fryer India Model 746,,,,,4.0,4869,Croma,,Free Delivery,,,Philips,Unknown,,
men running shoes,LG men running shoes Model 542,,,,,3.8,2690,Reliance Digital,,5 Days,,,LG,Unknown,,
air fryer India,Philips air fryer India Model 250,32487.0,,,,4.5,2194,Reliance Digital,,Free Delivery,,,Philips,Luxury,,
men running shoes,LG men running shoes Model 220,13243.0,,,,3.7,1513,Flipkart,,Free Delivery,,,LG,Premium,,
microwave oven convection,Dell microwave oven convection Model 363,27413.0,,,,3.1,1596,Flipkart,,2 Days,,,Dell,Luxury,,
power bank fast charging,HP power bank fast charging Model 389,18862.0,,,,4.7,4825,Flipkart,,5 Days,,,HP,Premium,,
air fryer India,Puma air fryer India Model 420,19293.0,,,,3.5,721,Amazon,,2 Days,,,Puma,Premium,,
air fryer India,Dell air fryer India Model 471,25906.0,,,,2.8,2582,Reliance Digital,,Free Delivery,,,Dell,Luxury,,
men running shoes,Puma men running shoes Model 302,46676.0,,,,3.0,1248,Flipkart,,Free Delivery,,,Puma,Luxury,,
air fryer India,Sony air fryer India Model 232,44203.0,,,,4.7,2799,Croma,,Free Delivery,,,Unknown,Luxury,,
power bank fast charging,Dell power bank fast charging Model 386,,,,,4.2,962,Reliance Digital,,Free Delivery,,,Dell,Unknown,,
microwave oven convection,HP microwave oven convection Model 285,,,,,,2826,Flipkart,,2 Days,,,HP,Unknown,,
air fryer India,Puma air fryer India Model 349,30268.0,,,,4.2,3941,Croma,,Free Delivery,,,Puma,Luxury,,
men running shoes,Boat men running shoes Model 401,146220.0,,,,3.2,1261,Reliance Digital,,5 Days,,,Boat,Luxury,,
power bank fast charging,Nike power bank fast charging Model 369,44892.0,,,,3.9,383,Amazon,,2 Days,,,Nike,Luxury,,
microwave oven convection,HP microwave oven convection Model 284,44322.0,,,,4.3,2946,Croma,,5 Days,,,HP,Luxury,,
air fryer India,Boat air fryer India Model 908,41753.0,,,,4.3,3905,Reliance Digital,,Free Delivery,,,Boat,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 572,23787.0,,,,4.4,2192,Croma,,Free Delivery,,,LG,Luxury,,
men running shoes,Nike men running shoes Model 761,22667.0,,,,4.7,1929,Flipkart,,Free Delivery,,,Nike,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 655,41827.0,,,,4.1,,Flipkart,,Free Delivery,,,LG,Luxury,,
air fryer India,LG air fryer India Model 811,33630.0,,,,4.0,1597,Reliance Digital,,Free Delivery,,,LG,Luxury,,
microwave oven convection,Puma microwave oven convection Model 556,192440.0,,,,4.3,4490,Croma,,2 Days,,,Puma,Luxury,,
air fryer India,LG air fryer India Model 528,48545.0,,,,4.5,309,Flipkart,,5 Days,,,LG,Luxury,,
microwave oven convection,LG microwave oven convection Model 606,30148.0,,,,2.7,4899,Croma,,5 Days,,,LG,Luxury,,
power bank fast charging,Dell power bank fast charging Model 949,26802.0,,,,2.9,3666,Flipkart,,Free Delivery,,,Dell,Luxury,,
power bank fast charging,HP power bank fast charging Model 389,,,,,,1152,Croma,,5 Days,,,HP,Unknown,,
power bank fast charging,Sony power bank fast charging Model 531,32369.0,,,,2.6,2525,Flipkart,,Free Delivery,,,Unknown,Luxury,,
men running shoes,Samsung men running shoes Model 624,,,,,,4218,Croma,,5 Days,,,Samsung,Unknown,,
office chair ergonomic,Nike office chair ergonomic Model 985,46962.0,,,,3.6,526,Croma,,2 Days,,,Nike,Luxury,,
power bank fast charging,HP power bank fast charging Model 469,23432.0,,,,3.3,,Croma,,2 Days,,,HP,Luxury,,
power bank fast charging,Samsung power bank fast charging Model 954,16114.0,,,,3.1,3197,Reliance Digital,,2 Days,,,Samsung,Premium,,
power bank fast charging,Puma power bank fast charging Model 144,36520.0,,,,3.1,3011,Reliance Digital,,5 Days,,,Puma,Luxury,,
office chair ergonomic,Nike office chair ergonomic Model 799,48982.0,,,,3.3,3233,Amazon,,Free Delivery,,,Nike,Luxury,,
power bank fast charging,Samsung power bank fast charging Model 447,14024.0,,,,4.0,3085,Reliance Digital,,Free Delivery,,,Samsung,Premium,,
air fryer India,LG air fryer India Model 152,28647.0,,,,3.9,3757,Flipkart,,5 Days,,,LG,Luxury,,
office chair ergonomic,Nike office chair ergonomic Model 321,17858.0,,,,3.7,666,Flipkart,,5 Days,,,Nike,Premium,,
air fryer India,Nike air fryer India Model 609,34421.0,,,,2.8,660,Amazon,,Free Delivery,,,Nike,Luxury,,
power bank fast charging,Boat power bank fast charging Model 295,17152.0,,,,3.9,1879,Flipkart,,Free Delivery,,,Boat,Premium,,
power bank fast charging,Samsung power bank fast charging Model 308,780.0,,,,2.9,2239,Croma,,2 Days,,,Samsung,Budget,,
men running shoes,Puma men running shoes Model 846,1264.0,,,,4.2,1855,Croma,,5 Days,,,Puma,Mid-Range,,
air fryer India,Dell air fryer India Model 255,26154.0,,,,3.4,1644,Flipkart,,Free Delivery,,,Dell,Luxury,,
power bank fast charging,Sony power bank fast charging Model 220,35128.0,,,,4.3,1617,Amazon,,5 Days,,,Unknown,Luxury,,
air fryer India,Boat air fryer India Model 553,,,,,4.5,1543,Amazon,,2 Days,,,Boat,Unknown,,
microwave oven convection,HP microwave oven convection Model 161,34850.0,,,,4.7,1498,Amazon,,5 Days,,,HP,Luxury,,
power bank fast charging,Puma power bank fast charging Model 131,8933.0,,,,3.8,143,Amazon,,2 Days,,,Puma,Premium,,
office chair ergonomic,Puma office chair ergonomic Model 677,20577.0,,,,3.6,3338,Croma,,5 Days,,,Puma,Luxury,,
power bank fast charging,LG power bank fast charging Model 664,34516.0,,,,4.0,2812,Amazon,,Free Delivery,,,LG,Luxury,,
microwave oven convection,Puma microwave oven convection Model 871,11766.0,,,,4.5,4784,Reliance Digital,,5 Days,,,Puma,Premium,,
men running shoes,HP men running shoes Model 660,,,,,4.1,1332,Croma,,5 Days,,,HP,Unknown,,
power bank fast charging,Philips power bank fast charging Model 956,22658.0,,,,4.3,4250,Amazon,,2 Days,,,Philips,Luxury,,
air fryer India,HP air fryer India Model 320,,,,,3.4,381,Reliance Digital,,Free Delivery,,,HP,Unknown,,
air fryer India,Puma air fryer India Model 328,22632.0,,,,4.8,2008,Amazon,,Free Delivery,,,Puma,Luxury,,
microwave oven convection,Boat microwave oven convection Model 117,12123.0,,,,4.6,4412,Flipkart,,5 Days,,,Boat,Premium,,
microwave oven convection,Philips microwave oven convection Model 955,,,,,4.3,4330,Flipkart,,5 Days,,,Philips,Unknown,,
power bank fast charging,HP power bank fast charging Model 832,30429.0,,,,4.4,4501,Flipkart,,Free Delivery,,,HP,Luxury,,
power bank fast charging,Sony power bank fast charging Model 552,1240.0,,,,4.0,1072,Flipkart,,Free Delivery,,,Unknown,Mid-Range,,
men running shoes,Nike men running shoes Model 523,19303.0,,,,4.7,3172,Amazon,,2 Days,,,Nike,Premium,,
office chair ergonomic,Sony office chair ergonomic Model 587,2295.0,,,,,4417,Croma,,5 Days,,,Unknown,Mid-Range,,
microwave oven convection,Nike microwave oven convection Model 158,325160.0,,,,3.5,4292,Croma,,5 Days,,,Nike,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 360,24626.0,,,,2.8,3256,Croma,,Free Delivery,,,Puma,Luxury,,
power bank fast charging,Dell power bank fast charging Model 204,49421.0,,,,2.6,1928,Flipkart,,Free Delivery,,,Dell,Luxury,,
air fryer India,Nike air fryer India Model 534,17928.0,,,,3.4,3731,Reliance Digital,,2 Days,,,Nike,Premium,,
men running shoes,LG men running shoes Model 145,30111.0,,,,3.1,702,Reliance Digital,,Free Delivery,,,LG,Luxury,,
air fryer India,Philips air fryer India Model 360,17016.0,,,,3.5,2921,Reliance Digital,,Free Delivery,,,Philips,Premium,,
power bank fast charging,HP power bank fast charging Model 824,3841.0,,,,3.8,1977,Amazon,,5 Days,,,HP,Mid-Range,,
microwave oven convection,Samsung microwave oven convection Model 836,17755.0,,,,3.3,903,Reliance Digital,,Free Delivery,,,Samsung,Premium,,
power bank fast charging,Samsung power bank fast charging Model 858,4182.0,,,,4.4,2560,Amazon,,Free Delivery,,,Samsung,Mid-Range,,
power bank fast charging,LG power bank fast charging Model 466,49248.0,,,,,1875,Amazon,,5 Days,,,LG,Luxury,,
men running shoes,Nike men running shoes Model 143,44839.0,,,,2.6,3003,Flipkart,,Free Delivery,,,Nike,Luxury,,
power bank fast charging,LG power bank fast charging Model 591,,,,,3.4,2625,Amazon,,Free Delivery,,,LG,Unknown,,
office chair ergonomic,Boat office chair ergonomic Model 149,17627.0,,,,3.6,2289,Amazon,,2 Days,,,Boat,Premium,,
power bank fast charging,LG power bank fast charging Model 249,,,,,2.8,2046,Flipkart,,Free Delivery,,,LG,Unknown,,
office chair ergonomic,Puma office chair ergonomic Model 996,66760.0,,,,3.1,2181,Reliance Digital,,5 Days,,,Puma,Luxury,,
office chair ergonomic,Philips office chair ergonomic Model 390,,,,,,2563,Reliance Digital,,5 Days,,,Philips,Unknown,,
power bank fast charging,LG power bank fast charging Model 549,32260.0,,,,4.7,1850,Reliance Digital,,5 Days,,,LG,Luxury,,
power bank fast charging,Philips power bank fast charging Model 461,,,,,3.1,4526,Amazon,,2 Days,,,Philips,Unknown,,
office chair ergonomic,Sony office chair ergonomic Model 269,35424.0,,,,3.8,886,Amazon,,5 Days,,,Unknown,Luxury,,
air fryer India,Philips air fryer India Model 729,21132.0,,,,2.7,4262,Croma,,Free Delivery,,,Philips,Luxury,,
men running shoes,Philips men running shoes Model 417,12377.0,,,,4.1,1839,Flipkart,,5 Days,,,Philips,Premium,,
power bank fast charging,Nike power bank fast charging Model 843,21420.0,,,,4.5,465,Flipkart,,Free Delivery,,,Nike,Luxury,,
office chair ergonomic,Nike office chair ergonomic Model 207,18384.0,,,,3.9,3798,Flipkart,,2 Days,,,Nike,Premium,,
microwave oven convection,HP microwave oven convection Model 936,39408.0,,,,4.2,3196,Croma,,5 Days,,,HP,Luxury,,
air fryer India,Philips air fryer India Model 269,,,,,3.6,1770,Flipkart,,5 Days,,,Philips,Unknown,,
office chair ergonomic,LG office chair ergonomic Model 518,37579.0,,,,3.0,2735,Amazon,,2 Days,,,LG,Luxury,,
men running shoes,Boat men running shoes Model 196,6965.0,,,,4.7,281,Amazon,,Free Delivery,,,Boat,Premium,,
power bank fast charging,LG power bank fast charging Model 926,5841.0,,,,3.5,1593,Croma,,5 Days,,,LG,Premium,,
power bank fast charging,Samsung power bank fast charging Model 204,35892.0,,,,4.0,4811,Amazon,,2 Days,,,Samsung,Luxury,,
men running shoes,Boat men running shoes Model 488,34899.0,,,,4.3,2120,Amazon,,5 Days,,,Boat,Luxury,,
air fryer India,Philips air fryer India Model 777,24223.0,,,,2.9,2765,Reliance Digital,,5 Days,,,Philips,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 336,,,,,3.3,4418,Flipkart,,2 Days,,,Puma,Unknown,,
air fryer India,LG air fryer India Model 328,,,,,3.9,2799,Reliance Digital,,5 Days,,,LG,Unknown,,
microwave oven convection,LG microwave oven convection Model 465,35692.0,,,,3.1,560,Flipkart,,2 Days,,,LG,Luxury,,
men running shoes,Philips men running shoes Model 921,6136.0,,,,,3343,Croma,,Free Delivery,,,Philips,Premium,,
men running shoes,Sony men running shoes Model 459,42264.0,,,,3.5,3067,Flipkart,,2 Days,,,Unknown,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 906,23890.0,,,,,2464,Reliance Digital,,2 Days,,,Puma,Luxury,,
power bank fast charging,Puma power bank fast charging Model 949,87970.0,,,,4.8,1988,Amazon,,Free Delivery,,,Puma,Luxury,,
men running shoes,HP men running shoes Model 911,9329.0,,,,4.5,418,Amazon,,5 Days,,,HP,Premium,,
air fryer India,HP air fryer India Model 837,20648.0,,,,,866,Reliance Digital,,5 Days,,,HP,Luxury,,
power bank fast charging,LG power bank fast charging Model 340,40436.0,,,,,4359,Reliance Digital,,2 Days,,,LG,Luxury,,
men running shoes,Nike men running shoes Model 543,,,,,3.7,2416,Flipkart,,5 Days,,,Nike,Unknown,,
microwave oven convection,Nike microwave oven convection Model 856,27091.0,,,,4.1,277,Croma,,5 Days,,,Nike,Luxury,,
men running shoes,Boat men running shoes Model 803,20987.0,,,,4.5,3826,Flipkart,,2 Days,,,Boat,Luxury,,
power bank fast charging,Philips power bank fast charging Model 895,,,,,4.6,2596,Croma,,2 Days,,,Philips,Unknown,,
office chair ergonomic,Nike office chair ergonomic Model 698,18380.0,,,,3.1,1698,Reliance Digital,,Free Delivery,,,Nike,Premium,,
office chair ergonomic,Dell office chair ergonomic Model 875,32126.0,,,,3.2,3250,Reliance Digital,,5 Days,,,Dell,Luxury,,
air fryer India,Philips air fryer India Model 596,21238.0,,,,4.8,2607,Flipkart,,Free Delivery,,,Philips,Luxury,,
men running shoes,Boat men running shoes Model 933,,,,,,4626,Reliance Digital,,5 Days,,,Boat,Unknown,,
air fryer India,Samsung air fryer India Model 271,,,,,3.0,2163,Reliance Digital,,5 Days,,,Samsung,Unknown,,
office chair ergonomic,HP office chair ergonomic Model 303,1279.0,,,,4.9,4932,Amazon,,2 Days,,,HP,Mid-Range,,
office chair ergonomic,Philips office chair ergonomic Model 477,10866.0,,,,,4350,Croma,,5 Days,,,Philips,Premium,,
power bank fast charging,Philips power bank fast charging Model 642,28225.0,,,,4.6,2579,Reliance Digital,,2 Days,,,Philips,Luxury,,
air fryer India,Nike air fryer India Model 718,29744.0,,,,4.3,767,Croma,,5 Days,,,Nike,Luxury,,
men running shoes,Puma men running shoes Model 786,46190.0,,,,4.4,4850,Reliance Digital,,2 Days,,,Puma,Luxury,,
air fryer India,Philips air fryer India Model 430,,,,,,2842,Amazon,,2 Days,,,Philips,Unknown,,
power bank fast charging,Puma power bank fast charging Model 482,45981.0,,,,4.7,4614,Croma,,Free Delivery,,,Puma,Luxury,,
air fryer India,Samsung air fryer India Model 258,,,,,3.4,1089,Croma,,2 Days,,,Samsung,Unknown,,
office chair ergonomic,Puma office chair ergonomic Model 101,,,,,4.7,2219,Amazon,,Free Delivery,,,Puma,Unknown,,
air fryer India,Philips air fryer India Model 969,34115.0,,,,3.7,2589,Reliance Digital,,2 Days,,,Philips,Luxury,,
men running shoes,Puma men running shoes Model 582,28024.0,,,,,80,Flipkart,,Free Delivery,,,Puma,Luxury,,
men running shoes,Puma men running shoes Model 698,10209.0,,,,4.2,1801,Reliance Digital,,5 Days,,,Puma,Premium,,
air fryer India,Samsung air fryer India Model 828,46174.0,,,,3.8,996,Flipkart,,2 Days,,,Samsung,Luxury,,
power bank fast charging,Samsung power bank fast charging Model 560,,,,,3.9,3606,Reliance Digital,,5 Days,,,Samsung,Unknown,,
power bank fast charging,Boat power bank fast charging Model 839,14552.0,,,,3.0,3900,Amazon,,Free Delivery,,,Boat,Premium,,
power bank fast charging,Boat power bank fast charging Model 674,37226.0,,,,4.0,240,Amazon,,Free Delivery,,,Boat,Luxury,,
microwave oven convection,Dell microwave oven convection Model 467,2674.0,,,,4.7,1877,Amazon,,2 Days,,,Dell,Mid-Range,,
office chair ergonomic,LG office chair ergonomic Model 721,29876.0,,,,4.9,2562,Croma,,Free Delivery,,,LG,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 674,25437.0,,,,3.0,2042,Croma,,2 Days,,,HP,Luxury,,
microwave oven convection,Samsung microwave oven convection Model 355,19714.0,,,,2.5,658,Amazon,,Free Delivery,,,Samsung,Premium,,
men running shoes,HP men running shoes Model 182,47672.0,,,,3.9,,Reliance Digital,,2 Days,,,HP,Luxury,,
men running shoes,HP men running shoes Model 331,29643.0,,,,4.6,359,Reliance Digital,,2 Days,,,HP,Luxury,,
